日付,年,月,シーズン,時刻,曜日,気温,降水,電力,
2018/12/1,2018 ,12 ,2018 ,1:00,土,9.9,なし,2624,
2018/12/1,2018 ,12 ,2018 ,2:00,土,9.2,なし,2593,
2018/12/1,2018 ,12 ,2018 ,3:00,土,8.9,なし,2588,
2018/12/1,2018 ,12 ,2018 ,4:00,土,8.9,なし,2605,
2018/12/1,2018 ,12 ,2018 ,5:00,土,8.3,なし,2668,
2018/12/1,2018 ,12 ,2018 ,6:00,土,8.4,なし,2818,
2018/12/1,2018 ,12 ,2018 ,7:00,土,8.5,なし,2982,
2018/12/1,2018 ,12 ,2018 ,8:00,土,9.8,なし,3156,
2018/12/1,2018 ,12 ,2018 ,9:00,土,11.7,なし,3192,
2018/12/1,2018 ,12 ,2018 ,10:00,土,13.9,なし,3144,
2018/12/1,2018 ,12 ,2018 ,11:00,土,14.9,なし,3111,
2018/12/1,2018 ,12 ,2018 ,12:00,土,15.7,なし,2994,
2018/12/1,2018 ,12 ,2018 ,13:00,土,15.8,なし,3019,
2018/12/1,2018 ,12 ,2018 ,14:00,土,16.7,なし,3013,
2018/12/1,2018 ,12 ,2018 ,15:00,土,16.1,なし,3036,
2018/12/1,2018 ,12 ,2018 ,16:00,土,15.8,なし,3222,
2018/12/1,2018 ,12 ,2018 ,17:00,土,14.7,なし,3391,
2018/12/1,2018 ,12 ,2018 ,18:00,土,13.6,なし,3401,
2018/12/1,2018 ,12 ,2018 ,19:00,土,13.0,なし,3365,
2018/12/1,2018 ,12 ,2018 ,20:00,土,12.0,なし,3293,
2018/12/1,2018 ,12 ,2018 ,21:00,土,11.2,なし,3147,
2018/12/1,2018 ,12 ,2018 ,22:00,土,10.8,なし,2980,
2018/12/1,2018 ,12 ,2018 ,23:00,土,10.6,なし,2805,
2018/12/2,2018 ,12 ,2018 ,0:00,日,10.0,なし,2605,
2018/12/2,2018 ,12 ,2018 ,1:00,日,9.8,なし,2494,
2018/12/2,2018 ,12 ,2018 ,2:00,日,8.6,なし,2471,
2018/12/2,2018 ,12 ,2018 ,3:00,日,8.6,なし,2473,
2018/12/2,2018 ,12 ,2018 ,4:00,日,8.1,なし,2487,
2018/12/2,2018 ,12 ,2018 ,5:00,日,8.5,なし,2530,
