DATE,時間,電力使用（万kW）,シーズン,日付,日時,気温（℃）,降水,曜日
2018/12/1,1:00,2624,2018,2018年12月1日,2018年12月1日 1:00,9.9 ,なし,土
2018/12/1,2:00,2593,2018,2018年12月1日,2018年12月1日 2:00,9.2 ,なし,土
2018/12/1,3:00,2588,2018,2018年12月1日,2018年12月1日 3:00,8.9 ,なし,土
2018/12/1,4:00,2605,2018,2018年12月1日,2018年12月1日 4:00,8.9 ,なし,土
2018/12/1,5:00,2668,2018,2018年12月1日,2018年12月1日 5:00,8.3 ,なし,土
2018/12/1,6:00,2818,2018,2018年12月1日,2018年12月1日 6:00,8.4 ,なし,土
2018/12/1,7:00,2982,2018,2018年12月1日,2018年12月1日 7:00,8.5 ,なし,土
2018/12/1,8:00,3156,2018,2018年12月1日,2018年12月1日 8:00,9.8 ,なし,土
2018/12/1,9:00,3192,2018,2018年12月1日,2018年12月1日 9:00,11.7 ,なし,土
2018/12/1,10:00,3144,2018,2018年12月1日,2018年12月1日 10:00,13.9 ,なし,土
2018/12/1,11:00,3111,2018,2018年12月1日,2018年12月1日 11:00,14.9 ,なし,土
2018/12/1,12:00,2994,2018,2018年12月1日,2018年12月1日 12:00,15.7 ,なし,土
2018/12/1,13:00,3019,2018,2018年12月1日,2018年12月1日 13:00,15.8 ,なし,土
2018/12/1,14:00,3013,2018,2018年12月1日,2018年12月1日 14:00,16.7 ,なし,土
2018/12/1,15:00,3036,2018,2018年12月1日,2018年12月1日 15:00,16.1 ,なし,土
2018/12/1,16:00,3222,2018,2018年12月1日,2018年12月1日 16:00,15.8 ,なし,土
2018/12/1,17:00,3391,2018,2018年12月1日,2018年12月1日 17:00,14.7 ,なし,土
2018/12/1,18:00,3401,2018,2018年12月1日,2018年12月1日 18:00,13.6 ,なし,土
2018/12/1,19:00,3365,2018,2018年12月1日,2018年12月1日 19:00,13.0 ,なし,土
2018/12/1,20:00,3293,2018,2018年12月1日,2018年12月1日 20:00,12.0 ,なし,土
2018/12/1,21:00,3147,2018,2018年12月1日,2018年12月1日 21:00,11.2 ,なし,土
2018/12/1,22:00,2980,2018,2018年12月1日,2018年12月1日 22:00,10.8 ,なし,土
2018/12/1,23:00,2805,2018,2018年12月1日,2018年12月1日 23:00,10.6 ,なし,土
2018/12/2,0:00,2605,2018,2018年12月2日,2018年12月2日 0:00,10.0 ,なし,日
2018/12/2,1:00,2494,2018,2018年12月2日,2018年12月2日 1:00,9.8 ,なし,日
2018/12/2,2:00,2471,2018,2018年12月2日,2018年12月2日 2:00,8.6 ,なし,日
2018/12/2,3:00,2473,2018,2018年12月2日,2018年12月2日 3:00,8.6 ,なし,日
2018/12/2,4:00,2487,2018,2018年12月2日,2018年12月2日 4:00,8.1 ,なし,日
2018/12/2,5:00,2530,2018,2018年12月2日,2018年12月2日 5:00,8.5 ,なし,日
2018/12/2,6:00,2649,2018,2018年12月2日,2018年12月2日 6:00,8.3 ,なし,日
2018/12/2,7:00,2807,2018,2018年12月2日,2018年12月2日 7:00,8.0 ,なし,日
2018/12/2,8:00,3013,2018,2018年12月2日,2018年12月2日 8:00,8.3 ,なし,日
2018/12/2,9:00,3097,2018,2018年12月2日,2018年12月2日 9:00,8.9 ,なし,日
2018/12/2,10:00,3099,2018,2018年12月2日,2018年12月2日 10:00,9.6 ,なし,日
2018/12/2,11:00,3035,2018,2018年12月2日,2018年12月2日 11:00,10.5 ,なし,日
2018/12/2,12:00,3033,2018,2018年12月2日,2018年12月2日 12:00,10.3 ,なし,日
2018/12/2,13:00,3006,2018,2018年12月2日,2018年12月2日 13:00,11.2 ,なし,日
2018/12/2,14:00,3002,2018,2018年12月2日,2018年12月2日 14:00,11.4 ,なし,日
2018/12/2,15:00,3097,2018,2018年12月2日,2018年12月2日 15:00,11.3 ,なし,日
2018/12/2,16:00,3312,2018,2018年12月2日,2018年12月2日 16:00,11.1 ,なし,日
2018/12/2,17:00,3488,2018,2018年12月2日,2018年12月2日 17:00,11.2 ,なし,日
2018/12/2,18:00,3504,2018,2018年12月2日,2018年12月2日 18:00,11.2 ,なし,日
2018/12/2,19:00,3461,2018,2018年12月2日,2018年12月2日 19:00,11.2 ,なし,日
2018/12/2,20:00,3362,2018,2018年12月2日,2018年12月2日 20:00,11.3 ,あり,日
2018/12/2,21:00,3205,2018,2018年12月2日,2018年12月2日 21:00,11.4 ,あり,日
2018/12/2,22:00,3002,2018,2018年12月2日,2018年12月2日 22:00,10.8 ,あり,日
2018/12/2,23:00,2790,2018,2018年12月2日,2018年12月2日 23:00,10.3 ,あり,日
2018/12/3,0:00,2571,2018,2018年12月3日,2018年12月3日 0:00,10.1 ,なし,月
2018/12/3,1:00,2469,2018,2018年12月3日,2018年12月3日 1:00,10.5 ,なし,月
2018/12/3,2:00,2453,2018,2018年12月3日,2018年12月3日 2:00,10.4 ,あり,月
2018/12/3,3:00,2467,2018,2018年12月3日,2018年12月3日 3:00,11.0 ,なし,月
2018/12/3,4:00,2520,2018,2018年12月3日,2018年12月3日 4:00,10.9 ,なし,月
2018/12/3,5:00,2663,2018,2018年12月3日,2018年12月3日 5:00,10.8 ,なし,月
2018/12/3,6:00,2999,2018,2018年12月3日,2018年12月3日 6:00,10.0 ,なし,月
2018/12/3,7:00,3273,2018,2018年12月3日,2018年12月3日 7:00,10.1 ,なし,月
2018/12/3,8:00,3513,2018,2018年12月3日,2018年12月3日 8:00,11.2 ,なし,月
2018/12/3,9:00,3699,2018,2018年12月3日,2018年12月3日 9:00,13.2 ,なし,月
2018/12/3,10:00,3712,2018,2018年12月3日,2018年12月3日 10:00,14.1 ,なし,月
2018/12/3,11:00,3678,2018,2018年12月3日,2018年12月3日 11:00,14.6 ,なし,月
2018/12/3,12:00,3489,2018,2018年12月3日,2018年12月3日 12:00,15.6 ,あり,月
2018/12/3,13:00,3603,2018,2018年12月3日,2018年12月3日 13:00,16.3 ,なし,月
2018/12/3,14:00,3590,2018,2018年12月3日,2018年12月3日 14:00,15.9 ,なし,月
2018/12/3,15:00,3603,2018,2018年12月3日,2018年12月3日 15:00,15.1 ,なし,月
2018/12/3,16:00,3775,2018,2018年12月3日,2018年12月3日 16:00,14.7 ,なし,月
2018/12/3,17:00,3851,2018,2018年12月3日,2018年12月3日 17:00,13.9 ,なし,月
2018/12/3,18:00,3781,2018,2018年12月3日,2018年12月3日 18:00,15.0 ,なし,月
2018/12/3,19:00,3647,2018,2018年12月3日,2018年12月3日 19:00,14.9 ,なし,月
2018/12/3,20:00,3498,2018,2018年12月3日,2018年12月3日 20:00,14.2 ,なし,月
2018/12/3,21:00,3343,2018,2018年12月3日,2018年12月3日 21:00,14.2 ,なし,月
