2023/1/25 18:10 UPDATE

DATE,TIME,é¿ê—(ñúkW)
2023/1/1,0:00,2870
2023/1/1,1:00,2721
2023/1/1,2:00,2636
2023/1/1,3:00,2575
2023/1/1,4:00,2548
2023/1/1,5:00,2579
2023/1/1,6:00,2689
2023/1/1,7:00,2852
2023/1/1,8:00,2908
2023/1/1,9:00,2789
2023/1/1,10:00,2634
2023/1/1,11:00,2502
2023/1/1,12:00,2424
2023/1/1,13:00,2354
2023/1/1,14:00,2347
2023/1/1,15:00,2426
2023/1/1,16:00,2620
2023/1/1,17:00,2910
2023/1/1,18:00,2997
2023/1/1,19:00,3016
2023/1/1,20:00,3020
2023/1/1,21:00,2982
2023/1/1,22:00,2854
2023/1/1,23:00,2732
2023/1/2,0:00,2560
2023/1/2,1:00,2461
2023/1/2,2:00,2430
2023/1/2,3:00,2421
2023/1/2,4:00,2420
2023/1/2,5:00,2480
2023/1/2,6:00,2637
2023/1/2,7:00,2842
2023/1/2,8:00,2940
2023/1/2,9:00,2866
2023/1/2,10:00,2758
2023/1/2,11:00,2670
2023/1/2,12:00,2622
2023/1/2,13:00,2601
2023/1/2,14:00,2624
2023/1/2,15:00,2729
2023/1/2,16:00,2928
2023/1/2,17:00,3178
2023/1/2,18:00,3260
2023/1/2,19:00,3275
2023/1/2,20:00,3262
2023/1/2,21:00,3188
2023/1/2,22:00,3042
2023/1/2,23:00,2895
2023/1/3,0:00,2693
2023/1/3,1:00,2571
2023/1/3,2:00,2527
2023/1/3,3:00,2500
2023/1/3,4:00,2502
2023/1/3,5:00,2563
2023/1/3,6:00,2745
2023/1/3,7:00,2983
2023/1/3,8:00,3085
2023/1/3,9:00,3002
2023/1/3,10:00,2876
2023/1/3,11:00,2771
2023/1/3,12:00,2703
2023/1/3,13:00,2638
2023/1/3,14:00,2627
2023/1/3,15:00,2731
2023/1/3,16:00,2965
2023/1/3,17:00,3286
2023/1/3,18:00,3399
2023/1/3,19:00,3409
2023/1/3,20:00,3392
2023/1/3,21:00,3286
2023/1/3,22:00,3109
2023/1/3,23:00,2954
2023/1/4,0:00,2740
2023/1/4,1:00,2632
2023/1/4,2:00,2593
2023/1/4,3:00,2576
2023/1/4,4:00,2597
2023/1/4,5:00,2731
2023/1/4,6:00,3055
2023/1/4,7:00,3381
2023/1/4,8:00,3553
2023/1/4,9:00,3493
2023/1/4,10:00,3352
2023/1/4,11:00,3239
2023/1/4,12:00,3175
2023/1/4,13:00,3155
2023/1/4,14:00,3120
2023/1/4,15:00,3217
2023/1/4,16:00,3438
2023/1/4,17:00,3710
2023/1/4,18:00,3779
2023/1/4,19:00,3764
2023/1/4,20:00,3709
2023/1/4,21:00,3558
2023/1/4,22:00,3343
2023/1/4,23:00,3121
2023/1/5,0:00,2863
2023/1/5,1:00,2738
2023/1/5,2:00,2694
2023/1/5,3:00,2675
2023/1/5,4:00,2711
2023/1/5,5:00,2906
2023/1/5,6:00,3335
2023/1/5,7:00,3759
2023/1/5,8:00,4021
2023/1/5,9:00,4050
2023/1/5,10:00,3929
2023/1/5,11:00,3826
2023/1/5,12:00,3674
2023/1/5,13:00,3684
2023/1/5,14:00,3670
2023/1/5,15:00,3749
2023/1/5,16:00,3967
2023/1/5,17:00,4138
2023/1/5,18:00,4159
2023/1/5,19:00,4107
2023/1/5,20:00,4009
2023/1/5,21:00,3841
2023/1/5,22:00,3604
2023/1/5,23:00,3368
2023/1/6,0:00,3106
2023/1/6,1:00,2986
2023/1/6,2:00,2928
2023/1/6,3:00,2918
2023/1/6,4:00,2956
2023/1/6,5:00,3166
2023/1/6,6:00,3622
2023/1/6,7:00,4061
2023/1/6,8:00,4417
2023/1/6,9:00,4480
2023/1/6,10:00,4277
2023/1/6,11:00,4141
2023/1/6,12:00,3946
2023/1/6,13:00,3951
2023/1/6,14:00,3898
2023/1/6,15:00,3874
2023/1/6,16:00,4070
2023/1/6,17:00,4216
2023/1/6,18:00,4190
2023/1/6,19:00,4087
2023/1/6,20:00,3948
2023/1/6,21:00,3751
2023/1/6,22:00,3545
2023/1/6,23:00,3314
2023/1/7,0:00,3051
2023/1/7,1:00,2910
2023/1/7,2:00,2851
2023/1/7,3:00,2812
2023/1/7,4:00,2811
2023/1/7,5:00,2889
2023/1/7,6:00,3128
2023/1/7,7:00,3432
2023/1/7,8:00,3712
2023/1/7,9:00,3755
2023/1/7,10:00,3608
2023/1/7,11:00,3489
2023/1/7,12:00,3361
2023/1/7,13:00,3325
2023/1/7,14:00,3294
2023/1/7,15:00,3330
2023/1/7,16:00,3473
2023/1/7,17:00,3722
2023/1/7,18:00,3781
2023/1/7,19:00,3762
2023/1/7,20:00,3696
2023/1/7,21:00,3558
2023/1/7,22:00,3386
2023/1/7,23:00,3214
2023/1/8,0:00,3012
2023/1/8,1:00,2891
2023/1/8,2:00,2837
2023/1/8,3:00,2809
2023/1/8,4:00,2808
2023/1/8,5:00,2866
2023/1/8,6:00,3047
2023/1/8,7:00,3285
2023/1/8,8:00,3436
2023/1/8,9:00,3398
2023/1/8,10:00,3251
2023/1/8,11:00,3136
2023/1/8,12:00,3074
2023/1/8,13:00,3006
2023/1/8,14:00,2974
2023/1/8,15:00,3029
2023/1/8,16:00,3220
2023/1/8,17:00,3528
2023/1/8,18:00,3616
2023/1/8,19:00,3596
2023/1/8,20:00,3514
2023/1/8,21:00,3390
2023/1/8,22:00,3189
2023/1/8,23:00,3019
2023/1/9,0:00,2814
2023/1/9,1:00,2720
2023/1/9,2:00,2688
2023/1/9,3:00,2691
2023/1/9,4:00,2721
2023/1/9,5:00,2819
2023/1/9,6:00,3054
2023/1/9,7:00,3347
2023/1/9,8:00,3557
2023/1/9,9:00,3561
2023/1/9,10:00,3439
2023/1/9,11:00,3316
2023/1/9,12:00,3193
2023/1/9,13:00,3177
2023/1/9,14:00,3154
2023/1/9,15:00,3196
2023/1/9,16:00,3363
2023/1/9,17:00,3632
2023/1/9,18:00,3702
2023/1/9,19:00,3666
2023/1/9,20:00,3596
2023/1/9,21:00,3453
2023/1/9,22:00,3236
2023/1/9,23:00,3032
2023/1/10,0:00,2810
2023/1/10,1:00,2701
2023/1/10,2:00,2687
2023/1/10,3:00,2695
2023/1/10,4:00,2765
2023/1/10,5:00,2973
2023/1/10,6:00,3422
2023/1/10,7:00,3807
2023/1/10,8:00,4084
2023/1/10,9:00,4202
2023/1/10,10:00,4166
2023/1/10,11:00,4099
2023/1/10,12:00,3937
2023/1/10,13:00,3998
2023/1/10,14:00,3989
2023/1/10,15:00,4060
2023/1/10,16:00,4257
2023/1/10,17:00,4436
2023/1/10,18:00,4434
2023/1/10,19:00,4340
2023/1/10,20:00,4219
2023/1/10,21:00,4020
2023/1/10,22:00,3773
2023/1/10,23:00,3517
2023/1/11,0:00,3239
2023/1/11,1:00,3110
2023/1/11,2:00,3059
2023/1/11,3:00,3041
2023/1/11,4:00,3083
2023/1/11,5:00,3297
2023/1/11,6:00,3777
2023/1/11,7:00,4185
2023/1/11,8:00,4471
2023/1/11,9:00,4503
2023/1/11,10:00,4306
2023/1/11,11:00,4134
2023/1/11,12:00,3911
2023/1/11,13:00,3924
2023/1/11,14:00,3870
2023/1/11,15:00,3902
2023/1/11,16:00,4074
2023/1/11,17:00,4259
2023/1/11,18:00,4286
2023/1/11,19:00,4216
2023/1/11,20:00,4122
